1982-01-01T12:00:00Z,0.0,-3.875,190.125,0.1
1982-01-01T12:00:00Z,0.0,-3.875,194.125,0.19
1982-01-01T12:00:00Z,0.0,-3.875,198.125,-0.35
1982-01-01T12:00:00Z,0.0,-3.875,202.125,-0.63
1982-01-01T12:00:00Z,0.0,-3.875,206.125,-0.79
1982-01-01T12:00:00Z,0.0,-3.875,210.125,-0.64
1982-01-01T12:00:00Z,0.0,-3.875,214.125,-0.03
1982-01-01T12:00:00Z,0.0,-3.875,218.125,0.01
1982-01-01T12:00:00Z,0.0,-3.875,222.125,0.06
1982-01-01T12:00:00Z,0.0,-3.875,226.125,-0.22
1982-01-01T12:00:00Z,0.0,-3.875,230.125,-0.32
1982-01-01T12:00:00Z,0.0,-3.875,234.125,0.05
1982-01-01T12:00:00Z,0.0,-3.875,238.125,-0.34
1982-01-01T12:00:00Z,0.0,0.125,190.125,-0.81
1982-01-01T12:00:00Z,0.0,0.125,194.125,-0.09
1982-01-01T12:00:00Z,0.0,0.125,198.125,-0.31
1982-01-01T12:00:00Z,0.0,0.125,202.125,-0.03
1982-01-01T12:00:00Z,0.0,0.125,206.125,-0.84
1982-01-01T12:00:00Z,0.0,0.125,210.125,0.48
1982-01-01T12:00:00Z,0.0,0.125,214.125,0.08
1982-01-01T12:00:00Z,0.0,0.125,218.125,-0.02
1982-01-01T12:00:00Z,0.0,0.125,222.125,0.75
1982-01-01T12:00:00Z,0.0,0.125,226.125,0.1
1982-01-01T12:00:00Z,0.0,0.125,230.125,1.19
1982-01-01T12:00:00Z,0.0,0.125,234.125,2.07
1982-01-01T12:00:00Z,0.0,0.125,238.125,0.48
1982-01-01T12:00:00Z,0.0,4.125,190.125,0.24
1982-01-01T12:00:00Z,0.0,4.125,194.125,0.56
1982-01-01T12:00:00Z,0.0,4.125,198.125,0.71
1982-01-01T12:00:00Z,0.0,4.125,202.125,-0.26
1982-01-01T12:00:00Z,0.0,4.125,206.125,-1.42
1982-01-01T12:00:00Z,0.0,4.125,210.125,0.08
1982-01-01T12:00:00Z,0.0,4.125,214.125,-0.03
1982-01-01T12:00:00Z,0.0,4.125,218.125,1.31
1982-01-01T12:00:00Z,0.0,4.125,222.125,0.93
1982-01-01T12:00:00Z,0.0,4.125,226.125,0.91
1982-01-01T12:00:00Z,0.0,4.125,230.125,0.05
1982-01-01T12:00:00Z,0.0,4.125,234.125,0.54
